# Wavelength (micron)  Signal (photon/sec/pixel)
       1.9210588    0.0050142782
       1.9213591     0.024681712
       1.9216594     0.067189983
       1.9219596      0.15548448
       1.9222599      0.22121824
       1.9225602      0.24335797
       1.9228605      0.23470633
       1.9231608      0.24151259
       1.9234611      0.19629856
       1.9237614     0.086435178
       1.9240618     0.015077401
       1.9243621    0.0096603953
       1.9246624     0.054073829
       1.9249626      0.15310631
       1.9252629      0.26116244
       1.9255632      0.29465214
       1.9258635      0.23942047
       1.9261638      0.18470921
       1.9264641      0.18082282
       1.9267645     0.097417291
       1.9270648     0.021648499
       1.9273651     0.022015121
       1.9276654     0.068053157
       1.9279656      0.12698743
       1.9282659     0.097028706
       1.9285662     0.029995887
       1.9288665     0.047597242
       1.9291668      0.14182614
       1.9294672      0.21041789
       1.9297674      0.21495575
       1.9300678      0.12949213
       1.9303681     0.057417004
       1.9306684     0.066555695
       1.9309686     0.041057809
       1.9312689     0.044134781
       1.9315692     0.081537739
       1.9318695     0.098457604
       1.9321698      0.17641991
       1.9324701      0.24661648
       1.9327705      0.17532519
       1.9330707      0.16961546
       1.9333711      0.24357117
       1.9336714      0.18585291
       1.9339716     0.072082534
       1.9342719     0.073308739
       1.9345722      0.15000475
       1.9348725      0.26373579
       1.9351728      0.32540150
       1.9354732      0.29204858
       1.9357734      0.22766596
       1.9360738      0.20141344
       1.9363741      0.11986080
       1.9366744     0.079582017
       1.9369746      0.16596857
       1.9372749      0.20530340
       1.9375752      0.19716714
       1.9378755      0.12405065
       1.9381758     0.086471635
       1.9384761      0.16798561
       1.9387765      0.17410685
       1.9390768     0.075602810
       1.9393771     0.045965378
       1.9396774     0.041228923
       1.9399776     0.094246801
       1.9402779      0.21176710
       1.9405782      0.23103658
       1.9408785      0.15058162
       1.9411788      0.11804941
       1.9414791     0.093867937
       1.9417794      0.12764367
       1.9420798      0.23689085
       1.9423801      0.32357313
       1.9426804      0.32449566
       1.9429806      0.30015952
       1.9432809      0.28174760
       1.9435812      0.18082579
       1.9438815      0.16165709
       1.9441818      0.19238032
       1.9444821      0.13693466
       1.9447825     0.090838008
       1.9450828      0.12805560
       1.9453831      0.21325207
       1.9456834      0.25329059
       1.9459836      0.23252677
       1.9462839      0.22789880
       1.9465842      0.28092682
       1.9468845      0.25448313
       1.9471848      0.16495957
       1.9474851      0.17079391
       1.9477855      0.21682692
       1.9480858      0.17928846
       1.9483861      0.15047012
       1.9486864      0.20320510
       1.9489866      0.23241345
       1.9492869      0.18303397
       1.9495872      0.20458531
       1.9498875      0.23226129
       1.9501878      0.23624103
       1.9504881      0.23068293
       1.9507884      0.20625954
       1.9510888      0.23047513
       1.9513891      0.28460646
       1.9516894      0.28775974
       1.9519897      0.25328911
       1.9522899      0.21886880
       1.9525902      0.20695558
       1.9528905      0.21193042
       1.9531908      0.14160716
       1.9534911      0.12525752
       1.9537914      0.17597916
       1.9540918      0.14038429
       1.9543921     0.093756932
       1.9546924      0.13210463
       1.9549927      0.16051898
       1.9552929      0.13238932
       1.9555932      0.11229964
       1.9558935      0.14098617
       1.9561938      0.13566153
       1.9564941      0.11746628
       1.9567945      0.13980188
       1.9570947      0.14600131
       1.9573951      0.15865000
       1.9576954      0.14844166
       1.9579957      0.11625957
       1.9582959      0.13183217
       1.9585962      0.16220958
       1.9588965      0.13832595
       1.9591968      0.10838457
       1.9594972      0.13586724
       1.9597974      0.22706684
       1.9600978      0.26346121
       1.9603981      0.29114682
       1.9606984      0.24212331
       1.9609987      0.18479482
       1.9612989      0.23087090
       1.9615992      0.27274997
       1.9618995      0.26532067
       1.9621998      0.23057448
       1.9625001      0.22636780
       1.9628005      0.16754399
