# wavelength[micron] photons/cm^2/s/Angstrom/arcsec^2
1.464516 4.048195e-05
1.464679 3.965798e-05
1.464843 3.596995e-05
1.465006 3.606834e-05
1.465169 4.100710e-05
1.465333 4.696528e-05
1.465496 5.335905e-05
1.465660 5.622772e-05
1.465823 4.891736e-05
1.465987 3.933288e-05
1.466150 1.320647e-04
1.466314 3.900201e-04
1.466477 5.629208e-04
1.466640 4.789270e-04
1.466804 2.352015e-04
1.466967 8.469728e-05
1.467131 4.534257e-05
1.467294 3.178381e-05
1.467458 2.252423e-05
1.467621 2.190493e-05
1.467785 2.683384e-05
1.467948 3.634164e-05
1.468112 4.279861e-05
1.468275 4.001522e-05
1.468438 2.848294e-05
1.468602 2.083151e-05
1.468765 1.936091e-05
1.468929 2.157076e-05
1.469092 2.691240e-05
1.469256 3.365239e-05
1.469419 1.623233e-04
1.469583 7.367806e-04
1.469746 1.377465e-03
1.469909 1.483229e-03
1.470073 9.568830e-04
1.470236 3.879031e-04
1.470400 1.348982e-04
1.470563 4.765904e-05
1.470727 2.716811e-05
1.470890 2.219921e-05
1.471054 3.363155e-05
1.471217 3.722294e-05
1.471381 1.708094e-04
1.471544 1.547506e-04
1.471707 3.115238e-05
1.471871 3.471996e-05
1.472034 2.445900e-05
1.472198 1.765538e-05
1.472361 1.495826e-05
1.472525 1.408116e-05
1.472688 1.422946e-05
1.472852 1.740898e-05
1.473015 2.102685e-05
1.473178 2.351202e-05
1.473342 2.325373e-05
1.473505 2.288569e-05
1.473669 8.391458e-05
1.473832 2.155202e-04
1.473996 3.071793e-04
1.474159 2.598820e-04
1.474323 1.290262e-04
1.474486 4.731573e-05
1.474650 2.141432e-05
1.474813 1.619032e-05
1.474976 1.494484e-05
1.475140 2.576922e-05
1.475303 7.188212e-05
1.475467 1.272648e-04
1.475630 1.349735e-04
1.475794 9.409599e-05
1.475957 5.094570e-05
1.476121 3.379721e-05
1.476284 2.325477e-05
1.476447 1.712514e-05
1.476611 1.660694e-05
1.476774 3.145558e-05
1.476938 1.271837e-04
1.477101 2.718165e-04
1.477265 3.228816e-04
1.477428 2.388158e-04
1.477592 8.345861e-05
1.477755 1.553183e-04
1.477919 2.475751e-04
1.478082 2.342014e-04
1.478245 5.381376e-04
1.478409 6.194302e-04
1.478572 4.230039e-04
1.478736 1.572388e-04
1.478899 5.894079e-05
1.479063 4.934677e-05
1.479226 5.463224e-05
1.479390 4.537389e-05
1.479553 8.518501e-05
1.479717 2.810773e-04
1.479880 5.213313e-04
1.480043 5.608425e-04
1.480207 4.047337e-04
1.480370 2.969923e-04
1.480534 2.876820e-04
1.480697 2.392871e-04
1.480861 1.251670e-04
1.481024 5.210164e-05
1.481188 2.849811e-05
1.481351 2.378191e-05
1.481514 1.911615e-05
1.481678 1.463013e-05
1.481841 1.176975e-05
1.482005 1.168819e-05
1.482168 1.297967e-05
1.482332 1.414880e-05
1.482495 1.821137e-05
1.482659 2.948250e-05
1.482822 7.276610e-05
1.482986 3.499190e-04
1.483149 8.838645e-04
1.483312 1.114563e-03
1.483476 8.870885e-04
1.483639 4.031836e-04
1.483803 9.310780e-05
1.483966 2.195684e-05
1.484130 1.522153e-05
1.484293 1.423433e-05
1.484457 1.280623e-05
1.484620 1.162795e-05
1.484783 1.253104e-05
1.484947 1.292494e-05
1.485110 1.237731e-05
1.485274 1.149033e-05
1.485437 1.140795e-05
1.485601 1.506249e-05
1.485764 2.313011e-05
1.485928 3.278910e-05
1.486091 1.134860e-04
1.486255 3.141494e-04
1.486418 4.269855e-04
1.486581 3.609184e-04
1.486745 1.637093e-04
1.486908 5.438238e-05
1.487072 2.068315e-05
1.487235 1.446759e-05
1.487399 1.300199e-05
1.487562 1.437208e-05
1.487726 1.750298e-05
1.487889 2.090638e-05
1.488052 2.515992e-05
1.488216 4.356986e-05
1.488379 2.495890e-04
1.488543 8.742181e-04
1.488706 1.394122e-03
1.488870 1.303803e-03
1.489033 6.601820e-04
1.489197 1.926734e-04
1.489360 3.909381e-05
1.489524 1.790050e-05
1.489687 1.453752e-05
1.489850 1.247120e-05
1.490014 1.331392e-05
1.490177 2.570982e-06
1.490341 6.670898e-05
1.490504 2.815243e-04
1.490668 1.206222e-04
1.490831 1.602681e-04
1.490995 1.610470e-04
1.491158 9.701782e-05
1.491321 3.849830e-05
1.491485 1.676698e-05
1.491648 1.354453e-05
1.491812 1.438856e-05
1.491975 1.426057e-05
1.492139 1.429154e-05
1.492302 1.390947e-05
1.492466 1.468002e-05
1.492629 1.686313e-05
1.492793 7.467018e-05
1.492956 2.888736e-04
1.493119 4.833410e-04
1.493283 4.750645e-04
1.493446 2.556099e-04
1.493610 8.465249e-05
1.493773 3.071292e-05
1.493937 2.563356e-05
1.494100 1.512057e-05
1.494264 6.599765e-05
1.494427 2.999513e-04
1.494590 4.744941e-05
1.494754 5.532403e-06
1.494917 1.242853e-05
1.495081 1.306680e-05
1.495244 1.472776e-05
1.495408 1.613930e-05
1.495571 1.703738e-05
1.495735 1.700422e-05
1.495898 1.649851e-05
1.496062 1.854117e-05
1.496225 2.011819e-05
1.496388 2.261350e-05
1.496552 2.142022e-05
1.496715 1.744370e-05
1.496879 1.450188e-05
1.497042 1.436492e-05
1.497206 1.379972e-05
1.497369 1.369825e-05
1.497533 1.406559e-05
1.497696 1.396672e-05
1.497859 1.292694e-05
1.498023 1.257486e-05
1.498186 1.301516e-05
1.498350 1.370924e-05
1.498513 1.401524e-05
1.498677 1.502769e-05
1.498840 1.547185e-05
1.499004 1.735601e-05
1.499167 1.953285e-05
1.499331 1.933671e-05
1.499494 1.837566e-05
1.499657 1.606013e-05
1.499821 1.504135e-05
1.499984 1.539930e-05
1.500148 1.816231e-05
1.500311 2.863676e-05
1.500475 5.094975e-05
1.500638 5.872462e-05
1.500802 5.292563e-05
1.500965 3.539502e-05
1.501128 2.271303e-05
1.501292 1.733504e-05
1.501455 1.610693e-05
1.501619 1.564823e-05
1.501782 1.533621e-05
1.501946 1.575504e-05
1.502109 1.984368e-05
1.502273 3.515037e-05
1.502436 5.738021e-05
1.502600 6.685345e-05
1.502763 5.530705e-05
1.502926 3.416472e-05
1.503090 1.980104e-05
1.503253 1.373257e-05
1.503417 2.527752e-05
1.503580 1.083049e-04
1.503744 3.420767e-05
1.503907 1.410539e-05
1.504071 1.908331e-05
1.504234 1.967072e-05
1.504397 2.098157e-05
1.504561 2.533063e-05
1.504724 3.658889e-05
1.504888 8.782130e-05
1.505051 3.310235e-04
1.505215 1.255619e-03
1.505378 3.146249e-03
1.505542 3.989580e-03
1.505705 3.116415e-03
1.505869 1.240328e-03
1.506032 2.975998e-04
1.506195 1.374658e-04
1.506359 1.649704e-04
1.506522 3.313413e-04
1.506686 8.329299e-04
1.506849 1.214464e-03
1.507013 1.104854e-03
1.507176 5.400676e-04
1.507340 1.511249e-04
1.507503 3.973869e-05
1.507666 2.728373e-05
1.507830 3.608563e-05
1.507993 4.816057e-05
1.508157 6.004755e-05
1.508320 7.084215e-05
1.508484 1.410712e-04
1.508647 2.785273e-04
1.508811 3.690060e-04
1.508974 3.088070e-04
1.509138 1.622851e-04
1.509301 5.937258e-05
1.509464 2.762325e-05
1.509628 2.481506e-05
1.509791 2.732650e-05
1.509955 2.687144e-05
1.510118 2.363846e-05
1.510282 2.210121e-05
1.510445 2.774040e-05
1.510609 3.621259e-05
1.510772 3.964594e-05
1.510935 4.832887e-05
1.511099 6.710322e-05
1.511262 9.000408e-05
1.511426 9.176351e-05
1.511589 7.328237e-05
1.511753 4.541990e-05
1.511916 2.200934e-05
1.512080 2.351537e-05
1.512243 1.075740e-04
1.512407 3.563014e-05
1.512570 1.359629e-05
1.512733 1.722666e-05
1.512897 1.769591e-05
1.513060 2.011345e-05
1.513224 2.471614e-05
1.513387 2.950670e-05
1.513551 2.921430e-05
1.513714 2.469340e-05
1.513878 2.167515e-05
1.514041 2.391936e-05
1.514204 2.711268e-05
1.514368 2.930821e-05
1.514531 3.012539e-05
1.514695 3.221515e-05
1.514858 3.702260e-05
1.515022 3.968371e-05
1.515185 3.547690e-05
1.515349 2.710990e-05
1.515512 1.980465e-05
1.515676 1.534431e-05
1.515839 1.420059e-05
1.516002 1.357005e-05
1.516166 1.391699e-05
1.516329 1.480442e-05
1.516493 1.457886e-05
1.516656 1.573478e-05
1.516820 1.608641e-05
1.516983 1.541643e-05
1.517147 1.573238e-05
1.517310 1.585581e-05
1.517473 1.576192e-05
1.517637 1.637242e-05
1.517800 1.895589e-05
1.517964 2.066410e-05
1.518127 3.091982e-05
1.518291 1.397913e-04
1.518454 4.135114e-04
1.518618 7.760416e-04
1.518781 8.228625e-04
1.518945 4.728894e-04
1.519108 1.412615e-04
1.519271 3.144609e-05
1.519435 1.754630e-05
1.519598 2.049903e-05
1.519762 5.762548e-05
1.519925 2.199675e-05
1.520089 1.253455e-05
1.520252 1.489009e-05
1.520416 1.930774e-05
1.520579 2.438562e-05
1.520742 2.548568e-05
1.520906 2.281096e-05
1.521069 1.702411e-05
1.521233 1.490715e-05
1.521396 1.920509e-05
1.521560 1.467670e-05
1.521723 1.376571e-05
1.521887 1.488933e-05
1.522050 1.420156e-05
1.522214 1.733177e-05
1.522377 4.048318e-05
1.522540 2.297072e-05
1.522704 1.622658e-05
1.522867 1.862837e-05
1.523031 2.062086e-05
1.523194 2.393850e-05
1.523358 3.039505e-05
1.523521 4.276965e-05
1.523685 2.924154e-04
1.523848 1.467407e-03
1.524011 2.700461e-03
1.524175 2.757099e-03
1.524338 1.490069e-03
1.524502 3.829789e-04
1.524665 6.210303e-05
1.524829 2.884585e-05
1.524992 2.263417e-05
1.525156 2.126500e-05
1.525319 2.375351e-05
1.525483 2.596113e-05
1.525646 2.065408e-05
1.525809 1.730314e-05
1.525973 1.544679e-05
1.526136 1.563018e-05
1.526300 1.674573e-05
1.526463 1.970836e-05
1.526627 2.480329e-05
1.526790 2.615183e-05
1.526954 2.655875e-05
1.527117 2.265489e-05
1.527280 1.781000e-05
1.527444 1.921487e-05
1.527607 1.515370e-05
1.527771 1.557430e-05
1.527934 1.955811e-05
1.528098 2.830167e-05
1.528261 5.334299e-05
1.528425 2.415094e-04
1.528588 7.542203e-04
1.528752 1.087236e-03
1.528915 9.196174e-04
1.529078 3.838458e-04
1.529242 8.826380e-05
1.529405 2.608389e-05
1.529569 1.800880e-05
1.529732 1.587535e-05
1.529896 1.444674e-05
1.530059 1.428088e-05
1.530223 1.494827e-05
1.530386 9.930045e-06
1.530550 3.974338e-05
1.530713 1.702494e-04
1.530876 6.213598e-05
1.531040 5.385146e-05
1.531203 5.005536e-05
1.531367 2.920489e-05
1.531530 1.821291e-05
1.531694 1.567453e-05
1.531857 1.572181e-05
1.532021 1.606782e-05
1.532184 1.776299e-05
1.532347 2.206308e-05
1.532511 2.876320e-05
1.532674 4.409570e-05
1.532838 3.611264e-04
1.533001 1.621361e-03
1.533165 2.902890e-03
1.533328 2.868154e-03
1.533492 1.488182e-03
1.533655 3.436367e-04
1.533819 5.553193e-05
1.533982 2.901183e-05
1.534145 2.215618e-05
1.534309 1.853564e-05
1.534472 2.229051e-05
1.534636 4.532372e-05
1.534799 7.312698e-05
1.534963 7.451764e-05
1.535126 4.629525e-05
1.535290 2.162943e-05
1.535453 1.599318e-05
1.535616 1.607196e-05
1.535780 1.509006e-05
1.535943 1.306703e-05
1.536107 1.261941e-05
1.536270 1.291808e-05
1.536434 1.256477e-05
1.536597 1.210309e-05
1.536761 1.259213e-05
1.536924 1.636148e-05
1.537088 3.043218e-05
1.537251 5.516417e-05
1.537414 8.783631e-05
1.537578 1.116710e-04
1.537741 1.092743e-04
1.537905 7.888186e-05
1.538068 4.487334e-05
1.538232 2.360223e-05
1.538395 2.298895e-05
1.538559 4.517813e-05
1.538722 6.846346e-05
1.538885 9.302389e-05
1.539049 1.453442e-04
1.539212 2.719086e-04
1.539376 6.888047e-04
1.539539 8.789090e-04
1.539703 6.447170e-04
1.539866 2.152139e-04
1.540030 4.221144e-05
1.540193 2.685915e-05
1.540357 4.213309e-05
1.540520 5.981706e-05
1.540683 6.466892e-05
1.540847 5.464267e-05
1.541010 4.897843e-05
1.541174 4.522140e-05
1.541337 3.698567e-05
1.541501 2.360238e-05
1.541664 1.736415e-05
1.541828 1.774978e-05
1.541991 2.453730e-05
1.542154 3.446402e-05
1.542318 4.134345e-05
1.542481 4.612073e-05
1.542645 5.252583e-05
1.542808 2.705138e-04
1.542972 1.069380e-03
1.543135 1.954975e-03
1.543299 1.932509e-03
1.543462 1.047786e-03
1.543626 2.604362e-04
1.543789 6.956654e-05
1.543952 4.974817e-05
1.544116 3.423005e-05
1.544279 1.977442e-05
1.544443 1.515046e-05
1.544606 1.411637e-05
1.544770 1.384919e-05
1.544933 1.336431e-05
1.545097 1.219585e-05
1.545260 1.225132e-05
1.545423 1.340956e-05
1.545587 1.298712e-05
1.545750 1.588752e-05
1.545914 3.988170e-05
1.546077 7.946073e-05
1.546241 9.367357e-05
1.546404 6.961247e-05
1.546568 3.847491e-05
1.546731 3.460387e-05
1.546895 3.386608e-05
1.547058 3.203526e-05
1.547221 4.751330e-05
1.547385 6.584307e-05
1.547548 5.981666e-05
1.547712 3.328716e-05
1.547875 1.601667e-05
1.548039 1.285960e-05
1.548202 1.182735e-05
1.548366 1.356933e-05
1.548529 3.044989e-05
1.548692 6.282364e-05
1.548856 7.928144e-05
1.549019 6.080544e-05
1.549183 2.897819e-05
1.549346 1.803041e-05
1.549510 1.914887e-05
1.549673 4.112363e-05
1.549837 1.328244e-04
1.550000 2.409583e-04
1.550164 2.419652e-04
1.550327 1.385444e-04
1.550490 4.972342e-05
1.550654 1.409155e-04
1.550817 3.695493e-04
1.550981 4.868997e-04
1.551144 3.594930e-04
1.551308 1.344141e-04
1.551471 7.438779e-05
1.551635 1.367997e-04
1.551798 1.609945e-04
1.551961 1.103650e-04
1.552125 4.150223e-05
1.552288 1.536664e-05
1.552452 1.282739e-05
1.552615 1.235837e-05
1.552779 1.246527e-05
1.552942 1.304816e-05
1.553106 1.421445e-05
1.553269 1.717769e-05
1.553433 2.014838e-05
1.553596 9.149640e-05
1.553759 4.201143e-04
1.553923 8.661289e-04
1.554086 9.709513e-04
1.554250 7.356411e-04
1.554413 6.316262e-04
1.554577 7.062662e-04
1.554740 5.811422e-04
1.554904 2.531962e-04
1.555067 4.764176e-05
1.555230 1.997147e-05
1.555394 1.677755e-05
1.555557 1.512794e-05
1.555721 1.504444e-05
1.555884 2.185081e-05
1.556048 3.234767e-05
1.556211 3.715902e-05
1.556375 2.984219e-05
1.556538 5.403755e-05
1.556702 1.257822e-04
1.556865 2.518528e-04
1.557028 3.292441e-04
1.557192 2.378352e-04
1.557355 9.224623e-05
1.557519 3.056974e-05
1.557682 2.382689e-05
1.557846 2.498428e-05
1.558009 2.893847e-05
1.558173 2.952332e-05
1.558336 2.268292e-05
1.558499 1.499849e-05
1.558663 1.419160e-05
1.558826 1.537361e-05
1.558990 1.786224e-05
1.559153 2.217684e-05
1.559317 6.956772e-05
1.559480 5.007447e-04
1.559644 1.117832e-03
1.559807 1.285838e-03
1.559971 7.762308e-04
1.560134 2.037793e-04
1.560297 2.697745e-05
1.560461 1.965200e-05
1.560624 1.536438e-05
1.560788 1.312742e-05
1.560951 1.627184e-05
1.561115 2.788528e-05
1.561278 3.716307e-05
1.561442 3.380877e-05
1.561605 2.208570e-05
1.561768 1.802066e-05
1.561932 2.161204e-05
1.562095 2.230705e-05
1.562259 1.838605e-05
1.562422 1.588283e-05
1.562586 1.988432e-05
1.562749 8.100731e-05
1.562913 3.898314e-04
1.563076 6.871917e-04
1.563240 6.654513e-04
1.563403 3.275878e-04
1.563566 7.024907e-05
1.563730 1.832889e-05
1.563893 2.388928e-05
1.564057 2.595627e-05
1.564220 2.572887e-05
1.564384 2.615330e-05
1.564547 2.206816e-05
1.564711 2.567724e-05
1.564874 2.868369e-05
1.565037 6.999909e-05
1.565201 5.906132e-04
1.565364 1.547651e-03
1.565528 1.982185e-03
1.565691 1.434266e-03
1.565855 5.474893e-04
1.566018 1.325720e-04
1.566182 3.840520e-05
1.566345 2.013228e-05
1.566509 1.710210e-05
1.566672 1.473405e-05
1.566835 1.334684e-05
1.566999 1.244732e-05
1.567162 1.249074e-05
1.567326 1.318901e-05
1.567489 1.269298e-05
1.567653 1.310811e-05
1.567816 1.500263e-05
1.567980 1.939071e-05
1.568143 2.510537e-05
1.568306 2.873365e-05
1.568470 2.695995e-05
1.568633 2.306476e-05
1.568797 1.954081e-05
1.568960 1.796978e-05
1.569124 1.622663e-05
1.569287 1.594128e-05
1.569451 1.715250e-05
1.569614 2.359790e-05
1.569778 4.460265e-05
1.569941 1.874239e-04
1.570104 4.734962e-04
1.570268 5.747318e-04
1.570431 4.096284e-04
1.570595 1.235041e-04
1.570758 2.509756e-05
1.570922 2.209337e-05
1.571085 2.458498e-05
1.571249 2.378687e-05
1.571412 2.720293e-05
1.571575 1.610040e-05
1.571739 1.749429e-05
1.571902 2.396918e-05
1.572066 3.012172e-05
1.572229 3.801389e-05
1.572393 4.561939e-05
1.572556 4.184997e-05
1.572720 2.661279e-05
1.572883 2.034006e-05
1.573047 2.708020e-05
1.573210 3.450357e-05
1.573373 3.316758e-05
1.573537 3.006925e-05
1.573700 3.465056e-05
1.573864 3.602675e-05
1.574027 2.910690e-05
1.574191 1.680049e-05
1.574354 1.437408e-05
1.574518 2.165130e-05
1.574681 2.522587e-05
1.574844 2.501017e-05
1.575008 2.835162e-05
1.575171 3.066541e-05
1.575335 2.581697e-05
1.575498 1.755551e-05
1.575662 2.489636e-05
1.575825 6.282131e-05
1.575989 9.339854e-05
1.576152 8.542542e-05
1.576316 5.668573e-05
1.576479 4.435417e-05
1.576642 4.413739e-05
1.576806 3.304156e-05
1.576969 1.925806e-05
1.577133 1.551046e-05
1.577296 2.154393e-05
1.577460 2.517740e-05
1.577623 2.732642e-05
1.577787 4.526933e-05
1.577950 8.782799e-05
1.578113 1.259095e-04
1.578277 1.171168e-04
1.578440 7.118104e-05
1.578604 3.148562e-05
1.578767 1.777733e-05
1.578931 1.858849e-05
1.579094 2.464161e-05
1.579258 3.162560e-05
1.579421 3.272526e-05
1.579585 2.648462e-05
1.579748 1.853823e-05
1.579911 2.362714e-05
1.580075 5.175472e-05
1.580238 8.825671e-05
1.580402 1.020142e-04
1.580565 1.180056e-04
1.580729 1.519933e-04
1.580892 1.580219e-04
