# wavelength[micron] photons/cm^2/s/Angstrom/arcsec^2
1.140000 1.892574e-05
1.140131 1.510573e-05
1.140262 2.237146e-05
1.140393 2.344229e-05
1.140524 1.758465e-05
1.140654 4.621882e-05
1.140785 6.263462e-05
1.140916 3.936926e-05
1.141047 2.855379e-05
1.141178 2.147836e-05
1.141309 1.614511e-05
1.141440 4.261691e-05
1.141571 -3.794904e-05
1.141702 6.428582e-04
1.141832 7.912549e-04
1.141963 -6.008105e-05
1.142094 1.879546e-05
1.142225 1.224121e-05
1.142356 1.597813e-05
1.142487 1.582007e-05
1.142618 1.648323e-05
1.142749 1.566540e-05
1.142879 2.384709e-05
1.143010 4.921776e-05
1.143141 8.803179e-05
1.143272 1.117387e-04
1.143403 9.798943e-05
1.143534 6.845994e-05
1.143665 9.676342e-05
1.143796 2.322080e-04
1.143927 3.690891e-04
1.144057 3.557660e-04
1.144188 2.185920e-04
1.144319 9.251670e-05
1.144450 5.449943e-05
1.144581 4.939155e-05
1.144712 3.991937e-05
1.144843 5.186072e-05
1.144974 1.078453e-04
1.145105 1.797861e-04
1.145235 1.684410e-04
1.145366 7.981432e-05
1.145497 2.950854e-05
1.145628 1.308097e-05
1.145759 2.075629e-05
1.145890 2.406321e-05
1.146021 2.646582e-05
1.146152 2.795021e-05
1.146283 2.197975e-05
1.146413 2.295049e-05
1.146544 3.249231e-05
1.146675 5.570402e-05
1.146806 7.590433e-05
1.146937 6.746345e-05
1.147068 3.807120e-05
1.147199 1.853964e-05
1.147330 1.276294e-05
1.147461 1.388755e-05
1.147591 1.258645e-05
1.147722 1.281266e-05
1.147853 1.747730e-05
1.147984 2.080635e-05
1.148115 2.012976e-05
1.148246 1.861853e-05
1.148377 2.071680e-05
1.148508 -2.001797e-05
1.148638 2.850200e-04
1.148769 3.608726e-04
1.148900 -5.532966e-06
1.149031 3.251833e-05
1.149162 2.475044e-05
1.149293 1.734676e-05
1.149424 1.244784e-05
1.149555 1.071467e-05
1.149686 8.242028e-06
1.149816 6.575954e-06
1.149947 8.590727e-06
1.150078 8.519142e-06
1.150209 1.149929e-05
1.150340 1.692440e-05
1.150471 2.170435e-05
1.150602 3.248069e-05
1.150733 5.354667e-05
1.150864 6.637264e-05
1.150994 5.524525e-05
1.151125 3.250827e-05
1.151256 1.774639e-05
1.151387 1.338893e-05
1.151518 1.585769e-05
1.151649 1.677198e-05
1.151780 1.687199e-05
1.151911 1.852601e-05
1.152042 1.617178e-05
1.152172 1.233354e-05
1.152303 8.599304e-06
1.152434 7.584836e-06
1.152565 8.048929e-06
1.152696 7.265643e-06
1.152827 9.100782e-06
1.152958 1.020258e-05
1.153089 1.038406e-05
1.153219 1.235785e-05
1.153350 9.036453e-08
1.153481 1.368162e-04
1.153612 2.945243e-04
1.153743 4.323448e-04
1.153874 5.924937e-04
1.154005 4.483156e-04
1.154136 1.806461e-04
1.154267 3.345713e-05
1.154397 9.509367e-06
1.154528 -1.375542e-06
1.154659 9.979102e-05
1.154790 1.090476e-04
1.154921 -6.227166e-07
1.155052 1.067916e-05
1.155183 1.517899e-05
1.155314 2.093766e-05
1.155445 2.087693e-05
1.155575 1.799658e-05
1.155706 1.408377e-05
1.155837 1.028595e-05
1.155968 9.427647e-06
1.156099 1.310393e-05
1.156230 5.142284e-05
1.156361 1.461532e-04
1.156492 2.197796e-04
1.156623 1.898780e-04
1.156753 9.778900e-05
1.156884 3.463421e-05
1.157015 1.538507e-05
1.157146 1.065609e-05
1.157277 1.127717e-05
1.157408 1.496941e-05
1.157539 2.188267e-05
1.157670 2.638129e-05
1.157800 2.569682e-05
1.157931 2.910786e-05
1.158062 3.315204e-05
1.158193 2.895895e-05
1.158324 2.239590e-05
1.158455 1.666525e-05
1.158586 1.426432e-05
1.158717 1.948683e-05
1.158848 1.119360e-04
1.158978 4.100396e-04
1.159109 6.997031e-04
1.159240 6.877067e-04
1.159371 3.875695e-04
1.159502 1.035832e-04
1.159633 1.705585e-05
1.159764 1.161199e-05
1.159895 1.109037e-05
1.160026 8.644046e-06
1.160156 1.254219e-05
1.160287 1.309351e-05
1.160418 9.671936e-06
1.160549 9.984275e-06
1.160680 9.197423e-06
1.160811 2.214934e-05
1.160942 2.585739e-05
1.161073 1.877450e-05
1.161204 1.483388e-05
1.161334 1.037413e-05
1.161465 1.008828e-05
1.161596 1.193993e-05
1.161727 1.589510e-05
1.161858 2.055989e-05
1.161989 2.148703e-05
1.162120 1.642501e-05
1.162251 1.311249e-05
1.162382 1.510109e-05
1.162512 7.131504e-05
1.162643 1.859214e-04
1.162774 2.416653e-04
1.162905 1.889732e-04
1.163036 8.530116e-05
1.163167 2.195640e-05
1.163298 1.321553e-05
1.163429 2.412486e-05
1.163559 2.863897e-05
1.163690 2.745791e-05
1.163821 2.571588e-05
1.163952 2.134600e-05
1.164083 1.824646e-05
1.164214 1.733830e-05
1.164345 1.401318e-05
1.164476 1.242361e-05
1.164607 1.540299e-05
1.164737 6.641749e-05
1.164868 2.819784e-04
1.164999 5.125603e-04
1.165130 5.391249e-04
1.165261 3.314332e-04
1.165392 1.126512e-04
1.165523 3.548593e-05
1.165654 2.310251e-05
1.165785 1.552943e-05
1.165915 1.088980e-05
1.166046 8.786556e-06
1.166177 8.473221e-06
1.166308 9.385543e-06
1.166439 9.859726e-06
1.166570 9.513249e-06
1.166701 9.753013e-06
1.166832 1.126486e-05
1.166963 1.323584e-05
1.167093 1.629835e-05
1.167224 1.961999e-05
1.167355 1.907552e-05
1.167486 1.444576e-05
1.167617 1.330646e-05
1.167748 1.668979e-05
1.167879 2.068648e-05
1.168010 2.452605e-05
1.168140 2.778680e-05
1.168271 2.787258e-05
1.168402 2.419862e-05
1.168533 1.663022e-05
1.168664 1.473868e-05
1.168795 1.549841e-05
1.168926 1.630899e-05
1.169057 1.383444e-05
1.169188 1.338990e-05
1.169318 2.938164e-05
1.169449 9.149984e-05
1.169580 1.462862e-04
1.169711 1.418891e-04
1.169842 7.936763e-05
1.169973 2.253164e-05
1.170104 1.343665e-04
1.170235 6.274729e-05
1.170366 8.178617e-06
1.170496 1.922180e-05
1.170627 1.755683e-05
1.170758 1.404714e-05
1.170889 1.168627e-05
1.171020 1.227530e-05
1.171151 1.705090e-05
1.171282 5.673641e-05
1.171413 1.852106e-04
1.171544 3.148245e-04
1.171674 3.418470e-04
1.171805 1.932530e-04
1.171936 5.550348e-05
1.172067 1.419055e-05
1.172198 1.062547e-05
1.172329 1.159837e-05
1.172460 1.485725e-05
1.172591 1.805079e-05
1.172721 1.995946e-05
1.172852 1.826563e-05
1.172983 1.493470e-05
1.173114 1.299164e-05
1.173245 1.745286e-05
1.173376 2.303247e-05
1.173507 2.462154e-05
1.173638 1.876065e-05
1.173769 1.328674e-05
1.173899 9.691756e-06
1.174030 9.002509e-06
1.174161 9.334010e-06
1.174292 9.301776e-06
1.174423 8.627245e-06
1.174554 9.637911e-06
1.174685 8.874444e-06
1.174816 8.680438e-06
1.174947 9.085154e-06
1.175077 8.441142e-06
1.175208 7.853112e-06
1.175339 8.364055e-06
1.175470 8.748666e-06
1.175601 1.171330e-05
1.175732 1.594526e-05
1.175863 1.489136e-05
1.175994 1.117172e-05
1.176125 8.961289e-06
1.176255 7.800551e-06
1.176386 7.472093e-06
1.176517 8.725862e-06
1.176648 1.068406e-05
1.176779 2.252309e-05
1.176910 5.715391e-05
1.177041 8.674295e-05
1.177172 8.194638e-05
1.177303 4.671369e-05
1.177433 1.953641e-05
1.177564 1.183001e-05
1.177695 1.164461e-05
1.177826 1.207636e-05
1.177957 1.175087e-05
1.178088 1.554986e-05
1.178219 2.060548e-05
1.178350 2.290178e-05
1.178480 3.679024e-05
1.178611 9.074079e-05
1.178742 1.515204e-04
1.178873 1.493217e-04
1.179004 9.409960e-05
1.179135 4.112225e-05
1.179266 2.120708e-05
1.179397 1.525981e-05
1.179528 1.393155e-05
1.179658 1.391552e-05
1.179789 1.244600e-05
1.179920 1.154589e-05
1.180051 1.077500e-05
1.180182 1.027815e-05
1.180313 1.185565e-05
1.180444 1.558120e-05
1.180575 1.413965e-05
1.180706 1.229253e-05
1.180836 1.262914e-05
1.180967 1.277407e-05
1.181098 1.192201e-05
1.181229 9.299261e-06
1.181360 8.594414e-06
1.181491 8.573158e-06
1.181622 9.641281e-06
1.181753 9.072485e-06
1.181884 1.204796e-05
1.182014 1.535102e-05
1.182145 1.577558e-05
1.182276 1.654650e-05
1.182407 1.839186e-05
1.182538 2.057215e-05
1.182669 2.060782e-05
1.182800 1.696551e-05
1.182931 1.095074e-05
1.183061 9.501750e-06
1.183192 8.589775e-06
1.183323 8.255803e-06
1.183454 1.021151e-05
1.183585 9.972423e-06
1.183716 9.950291e-06
1.183847 1.097585e-05
1.183978 6.567758e-06
1.184109 3.543447e-05
1.184239 7.871359e-05
1.184370 1.341997e-05
1.184501 1.228556e-05
1.184632 1.226233e-05
1.184763 1.171975e-05
1.184894 1.936732e-05
1.185025 3.625552e-05
1.185156 4.394082e-05
1.185287 3.555774e-05
1.185417 1.845466e-05
1.185548 1.065935e-05
1.185679 1.027505e-05
1.185810 9.599334e-06
1.185941 9.672939e-06
1.186072 1.009981e-05
1.186203 1.097334e-05
1.186334 1.946174e-05
1.186465 4.561934e-05
1.186595 7.140181e-05
1.186726 7.007972e-05
1.186857 4.961208e-05
1.186988 2.967854e-05
1.187119 1.574057e-05
1.187250 1.390399e-05
1.187381 1.221863e-05
1.187512 8.840986e-06
1.187642 8.629161e-06
1.187773 1.080563e-05
1.187904 1.088723e-05
1.188035 1.080007e-05
1.188166 1.020289e-05
1.188297 9.890936e-06
1.188428 1.098330e-05
1.188559 1.413257e-05
1.188690 1.496340e-05
1.188820 1.423636e-05
1.188951 1.197019e-05
1.189082 1.131366e-05
1.189213 1.413134e-05
1.189344 1.677643e-05
1.189475 1.685870e-05
1.189606 1.486578e-05
1.189737 1.295283e-05
1.189868 1.439695e-05
1.189998 1.702269e-05
1.190129 1.884296e-05
1.190260 1.843877e-05
1.190391 2.215313e-05
1.190522 2.358492e-05
1.190653 2.533129e-05
1.190784 2.588159e-05
1.190915 1.844312e-05
1.191046 2.123738e-05
1.191176 3.186328e-05
1.191307 3.453745e-05
1.191438 2.865868e-05
1.191569 2.348679e-05
1.191700 1.675412e-05
1.191831 1.285032e-05
1.191962 1.249704e-05
1.192093 1.317131e-05
1.192224 1.222750e-05
1.192354 9.916364e-06
1.192485 9.016328e-06
1.192616 9.022157e-06
1.192747 8.531647e-06
1.192878 8.466781e-06
1.193009 9.588728e-06
1.193140 1.171042e-05
1.193271 1.782811e-05
1.193401 2.157883e-05
1.193532 2.333522e-05
1.193663 2.841925e-05
1.193794 3.309359e-05
1.193925 2.899904e-05
1.194056 1.874802e-05
1.194187 1.293972e-05
1.194318 9.146301e-06
1.194449 3.243622e-05
1.194579 3.009899e-05
1.194710 1.229633e-05
1.194841 1.573571e-05
1.194972 2.968283e-05
1.195103 4.256943e-05
1.195234 4.156618e-05
1.195365 2.737770e-05
1.195496 1.423318e-05
1.195627 9.923616e-06
1.195757 9.801160e-06
1.195888 8.732362e-06
1.196019 8.871035e-06
1.196150 9.007346e-06
1.196281 9.641572e-06
1.196412 1.150863e-05
1.196543 2.335759e-05
1.196674 5.590599e-05
1.196805 9.030840e-05
1.196935 9.882353e-05
1.197066 7.815747e-05
1.197197 7.696347e-05
1.197328 1.130428e-04
1.197459 1.549677e-04
1.197590 1.428777e-04
1.197721 9.018527e-05
1.197852 3.649480e-05
1.197982 1.826066e-05
1.198113 3.793985e-05
1.198244 7.462895e-05
1.198375 9.537885e-05
1.198506 8.895195e-05
1.198637 1.365799e-04
1.198768 2.327073e-04
1.198899 2.562174e-04
1.199030 1.623692e-04
1.199160 4.815606e-05
1.199291 1.199138e-05
1.199422 1.028095e-05
1.199553 1.232422e-05
1.199684 2.233526e-05
1.199815 7.062715e-05
1.199946 1.229013e-04
1.200077 1.373799e-04
1.200208 9.742795e-05
1.200338 6.787925e-05
1.200469 1.708490e-04
1.200600 3.763486e-04
1.200731 4.401476e-04
1.200862 2.985864e-04
1.200993 8.938927e-05
1.201124 1.592524e-05
1.201255 1.316076e-05
1.201386 1.608718e-05
1.201516 1.592653e-05
1.201647 1.368571e-05
1.201778 1.193293e-05
1.201909 1.144228e-05
1.202040 1.747113e-05
1.202171 6.248003e-05
1.202302 1.538567e-04
1.202433 2.002143e-04
1.202563 1.688015e-04
1.202694 9.933434e-05
1.202825 1.662228e-04
1.202956 4.068869e-04
1.203087 5.243924e-04
1.203218 4.072930e-04
1.203349 1.493355e-04
1.203480 3.142370e-05
1.203611 1.456913e-05
1.203741 1.868015e-05
1.203872 4.430239e-05
1.204003 1.433408e-05
1.204134 1.955826e-05
1.204265 2.940220e-05
1.204396 3.294221e-05
1.204527 2.578839e-05
1.204658 1.792023e-05
1.204789 1.257157e-05
1.204919 1.227807e-05
1.205050 1.391209e-05
1.205181 1.954712e-05
1.205312 6.333872e-05
1.205443 1.589736e-04
1.205574 2.160882e-04
1.205705 1.856699e-04
1.205836 9.718759e-05
1.205967 3.839745e-05
1.206097 2.286128e-05
1.206228 2.011553e-05
1.206359 2.498302e-05
1.206490 1.929107e-05
1.206621 2.441418e-05
1.206752 2.449603e-05
1.206883 2.078161e-05
1.207014 1.623769e-05
1.207145 1.348508e-05
1.207275 1.212423e-05
1.207406 1.016957e-05
1.207537 1.054177e-05
1.207668 1.016144e-05
1.207799 1.055495e-05
1.207930 1.164622e-05
1.208061 1.297703e-05
1.208192 1.367685e-05
1.208322 1.501625e-05
1.208453 1.530279e-05
1.208584 1.305895e-05
1.208715 1.057856e-05
1.208846 9.710411e-06
1.208977 1.033448e-05
1.209108 9.428699e-06
1.209239 1.173599e-05
1.209370 1.895092e-05
1.209500 2.386852e-05
1.209631 2.806840e-05
1.209762 2.634692e-05
1.209893 1.980370e-05
1.210024 1.378432e-05
1.210155 1.118675e-05
1.210286 1.086737e-05
