# wavelength[micron] photons/cm^2/s/Angstrom/arcsec^2
1.921000 5.448065e-05
1.921217 4.977589e-05
1.921434 4.481369e-05
1.921652 4.199648e-05
1.921869 3.845847e-05
1.922086 3.690327e-05
1.922303 3.748778e-05
1.922520 3.840870e-05
1.922738 3.983947e-05
1.922955 4.092089e-05
1.923172 4.163744e-05
1.923389 4.421913e-05
1.923606 4.993739e-05
1.923824 6.147634e-05
1.924041 7.388422e-05
1.924258 1.056327e-04
1.924475 5.983873e-04
1.924692 1.979015e-03
1.924909 3.260842e-03
1.925127 3.058038e-03
1.925344 1.610296e-03
1.925561 4.160273e-04
1.925778 6.742133e-05
1.925995 5.675814e-05
1.926213 5.346782e-05
1.926430 4.933424e-05
1.926647 5.148803e-05
1.926864 5.513591e-05
1.927081 5.604922e-05
1.927299 5.337330e-05
1.927516 4.888388e-05
1.927733 4.524358e-05
1.927950 4.483751e-05
1.928167 4.861153e-05
1.928385 5.340208e-05
1.928602 5.510626e-05
1.928819 5.207267e-05
1.929036 5.464682e-05
1.929253 8.492381e-05
1.929471 1.373791e-04
1.929688 1.708145e-04
1.929905 1.561832e-04
1.930122 1.098220e-04
1.930339 6.991046e-05
1.930557 5.419750e-05
1.930774 5.289220e-05
1.930991 6.073903e-05
1.931208 8.747846e-05
1.931425 1.240714e-04
1.931643 1.529746e-04
1.931860 1.594906e-04
1.932077 1.360166e-04
1.932294 9.556005e-05
1.932511 5.100728e-05
1.932728 1.369406e-04
1.932946 3.344592e-04
1.933163 3.311637e-04
1.933380 1.767189e-04
1.933597 1.380519e-04
1.933814 1.628667e-04
1.934032 1.548081e-04
1.934249 1.455884e-04
1.934466 3.474466e-04
1.934683 8.820352e-04
1.934900 1.371512e-03
1.935118 1.289140e-03
1.935335 7.120316e-04
1.935552 2.373775e-04
1.935769 1.096311e-04
1.935986 1.134464e-04
1.936204 9.688914e-05
1.936421 7.014077e-05
1.936638 5.675715e-05
1.936855 5.181528e-05
1.937072 4.702659e-05
1.937290 4.344223e-05
1.937507 4.253739e-05
1.937724 4.481450e-05
1.937941 4.909197e-05
1.938158 5.089949e-05
1.938376 5.042034e-05
1.938593 5.371668e-05
1.938810 7.034790e-05
1.939027 9.198745e-05
1.939244 1.611475e-04
1.939462 4.812303e-04
1.939679 1.038162e-03
1.939896 1.342208e-03
1.940113 1.035671e-03
1.940330 4.507505e-04
1.940547 1.130247e-04
1.940765 5.288492e-05
1.940982 5.601682e-05
1.941199 5.360986e-05
1.941416 5.136948e-05
1.941633 4.775393e-05
1.941851 4.346404e-05
1.942068 3.977829e-05
1.942285 3.765971e-05
1.942502 3.751148e-05
1.942719 3.763690e-05
1.942937 3.788986e-05
1.943154 4.059483e-05
1.943371 4.474592e-05
1.943588 4.569074e-05
1.943805 4.255909e-05
1.944023 3.931543e-05
1.944240 3.797698e-05
1.944457 3.909781e-05
1.944674 4.181609e-05
1.944891 4.218868e-05
1.945109 3.994252e-05
1.945326 3.786997e-05
1.945543 4.112087e-05
1.945760 5.814374e-05
1.945977 8.142350e-05
1.946195 1.068092e-04
1.946412 1.386256e-04
1.946629 1.278480e-04
1.946846 1.374398e-04
1.947063 1.622954e-04
1.947281 1.641204e-04
1.947498 1.473232e-04
1.947715 1.282300e-04
1.947932 1.167891e-04
1.948149 1.082709e-04
1.948366 9.909630e-05
1.948584 9.476334e-05
1.948801 8.269546e-05
1.949018 6.956270e-05
1.949235 6.463654e-05
1.949452 7.143229e-05
1.949670 8.513092e-05
1.949887 9.236311e-05
1.950104 8.708438e-05
1.950321 7.186994e-05
1.950538 7.973716e-05
1.950756 1.348623e-04
1.950973 2.116729e-04
1.951190 3.032439e-04
1.951407 5.663554e-04
1.951624 1.012691e-03
1.951842 1.245253e-03
1.952059 1.026441e-03
1.952276 5.853059e-04
1.952493 3.558193e-04
1.952710 3.226505e-04
1.952928 2.935777e-04
1.953145 2.017082e-04
1.953362 1.401663e-04
1.953579 1.650197e-04
1.953796 2.060014e-04
1.954014 1.977292e-04
1.954231 1.550441e-04
1.954448 1.108122e-04
1.954665 7.648128e-05
1.954882 7.197314e-05
1.955100 1.264283e-04
1.955317 2.147360e-04
1.955534 3.892203e-04
1.955751 8.281192e-04
1.955968 1.057277e-03
1.956185 8.428423e-04
1.956403 4.910880e-04
1.956620 1.849282e-04
1.956837 8.478457e-05
1.957054 1.080630e-04
1.957271 1.421263e-04
1.957489 1.393132e-04
1.957706 1.046483e-04
1.957923 7.278292e-05
1.958140 5.638623e-05
1.958357 5.209607e-05
1.958575 5.235981e-05
1.958792 9.773690e-05
1.959009 2.584147e-04
1.959226 4.269617e-04
1.959443 4.144877e-04
1.959661 2.408985e-04
1.959878 8.526977e-05
1.960095 4.350761e-05
1.960312 4.246718e-05
1.960529 4.473642e-05
1.960747 5.516860e-05
1.960964 6.663025e-05
1.961181 7.485629e-05
1.961398 1.454701e-04
1.961615 3.051156e-04
1.961833 4.029857e-04
1.962050 3.300384e-04
1.962267 1.704705e-04
1.962484 9.143945e-05
1.962701 9.432636e-05
1.962919 1.058551e-04
1.963136 1.011226e-04
1.963353 8.438606e-05
1.963570 9.743086e-05
1.963787 3.135429e-04
1.964004 7.626729e-04
1.964222 1.007272e-03
1.964439 8.223319e-04
1.964656 3.672665e-04
1.964873 1.122614e-04
1.965090 6.538519e-05
1.965308 5.327788e-05
1.965525 4.288253e-05
1.965742 4.106172e-05
1.965959 3.970964e-05
1.966176 3.803718e-05
1.966394 3.888797e-05
1.966611 4.419659e-05
1.966828 5.327568e-05
1.967045 5.862666e-05
1.967262 9.954791e-05
1.967480 2.538634e-04
1.967697 4.049239e-04
1.967914 4.040949e-04
1.968131 2.318798e-04
1.968348 9.219423e-05
1.968566 5.269832e-05
1.968783 4.820250e-05
1.969000 4.529676e-05
1.969217 5.197088e-05
1.969434 1.031211e-04
1.969652 3.145048e-04
1.969869 8.201042e-04
1.970086 1.282876e-03
1.970303 1.202451e-03
1.970520 6.501466e-04
1.970738 1.901700e-04
1.970955 5.223079e-05
1.971172 4.529600e-05
1.971389 4.396118e-05
1.971606 4.179729e-05
1.971823 3.993157e-05
1.972041 3.855915e-05
1.972258 3.667765e-05
1.972475 3.559524e-05
1.972692 3.589848e-05
1.972909 4.556849e-05
1.973127 1.021507e-04
1.973344 2.189986e-04
1.973561 3.114217e-04
1.973778 2.906333e-04
1.973995 1.859299e-04
1.974213 8.438574e-05
1.974430 4.600758e-05
1.974647 1.293815e-04
1.974864 4.008231e-04
1.975081 6.029191e-04
1.975299 5.487678e-04
1.975516 3.018313e-04
1.975733 1.379017e-04
1.975950 1.125676e-04
1.976167 1.068938e-04
1.976385 7.677587e-05
1.976602 1.377568e-04
1.976819 6.551176e-04
1.977036 1.319488e-03
1.977253 1.489964e-03
1.977471 9.450727e-04
1.977688 3.266988e-04
1.977905 1.102631e-04
1.978122 8.316009e-05
1.978339 5.958169e-05
1.978556 4.158365e-05
1.978774 3.576400e-05
1.978991 3.378779e-05
1.979208 3.383015e-05
1.979425 3.410359e-05
1.979642 3.530296e-05
1.979860 3.594566e-05
1.980077 3.793730e-05
1.980294 4.606457e-05
1.980511 5.643405e-05
1.980728 6.396545e-05
1.980946 6.585210e-05
1.981163 6.067623e-05
1.981380 5.285810e-05
1.981597 4.700583e-05
1.981814 4.353943e-05
1.982032 4.188385e-05
1.982249 4.245114e-05
1.982466 4.504628e-05
1.982683 4.365188e-05
1.982900 3.919749e-05
1.983118 3.583800e-05
1.983335 4.651815e-05
1.983552 1.788563e-04
1.983769 4.124333e-04
1.983986 5.254711e-04
1.984204 3.883442e-04
1.984421 1.530893e-04
1.984638 4.694243e-05
1.984855 3.485132e-05
1.985072 3.561596e-05
1.985290 3.411720e-05
1.985507 3.341296e-05
1.985724 3.263650e-05
1.985941 3.172055e-05
1.986158 3.168199e-05
1.986375 3.229349e-05
1.986593 3.358191e-05
1.986810 3.573500e-05
1.987027 3.744671e-05
1.987244 3.694926e-05
1.987461 3.476134e-05
1.987679 3.283243e-05
1.987896 3.208671e-05
1.988113 3.228677e-05
1.988330 3.300963e-05
1.988547 3.618092e-05
1.988765 6.539339e-05
1.988982 1.221701e-04
1.989199 1.612823e-04
1.989416 1.542594e-04
1.989633 1.130516e-04
1.989851 8.377852e-05
1.990068 7.940981e-05
1.990285 9.159148e-05
1.990502 9.540423e-05
1.990719 7.936845e-05
1.990937 5.576351e-05
1.991154 5.485452e-05
1.991371 6.556854e-05
1.991588 6.352251e-05
1.991805 5.765221e-05
1.992023 8.160486e-05
1.992240 1.399607e-04
1.992457 1.797719e-04
1.992674 1.595545e-04
1.992891 1.033145e-04
1.993109 5.369048e-05
1.993326 3.485117e-05
1.993543 4.845930e-05
1.993760 6.570171e-05
1.993977 4.975101e-05
1.994194 3.524838e-05
1.994412 3.451879e-05
1.994629 3.731447e-05
1.994846 4.547349e-05
1.995063 5.273496e-05
1.995280 5.561931e-05
1.995498 5.811141e-05
1.995715 6.443627e-05
1.995932 6.509062e-05
1.996149 5.325165e-05
1.996366 4.355764e-05
1.996584 4.292656e-05
1.996801 4.741783e-05
1.997018 4.748128e-05
1.997235 4.219197e-05
1.997452 3.813721e-05
1.997670 3.799020e-05
1.997887 3.948882e-05
1.998104 4.011645e-05
1.998321 4.052490e-05
1.998538 4.109478e-05
1.998756 4.160987e-05
1.998973 4.283664e-05
1.999190 4.467416e-05
1.999407 4.728999e-05
1.999624 5.211761e-05
1.999842 6.440499e-05
2.000059 1.185068e-04
2.000276 4.821625e-04
2.000493 1.523867e-03
2.000710 2.522503e-03
2.000928 2.426231e-03
2.001145 1.259244e-03
2.001362 3.377486e-04
2.001579 8.211954e-05
2.001796 6.752775e-05
2.002013 6.590696e-05
2.002231 7.186664e-05
2.002448 7.382283e-05
2.002665 8.691765e-05
2.002882 2.493894e-04
2.003099 5.988722e-04
2.003317 7.733730e-04
2.003534 5.847624e-04
2.003751 2.383015e-04
2.003968 7.265924e-05
2.004185 5.153351e-05
2.004403 5.131790e-05
2.004620 5.002693e-05
2.004837 4.949414e-05
2.005054 4.924154e-05
2.005271 4.948524e-05
2.005489 5.121056e-05
2.005706 5.304438e-05
2.005923 5.863825e-05
2.006140 6.055525e-05
2.006357 5.645731e-05
2.006575 9.232183e-05
2.006792 1.723909e-04
2.007009 2.069321e-04
2.007226 1.624942e-04
2.007443 8.578291e-05
2.007661 4.839263e-05
2.007878 4.499974e-05
2.008095 4.475297e-05
2.008312 4.256722e-05
2.008529 4.198243e-05
2.008747 4.149341e-05
2.008964 4.006718e-05
2.009181 4.771083e-05
2.009398 6.853240e-05
2.009615 9.505527e-05
2.009832 1.176102e-04
2.010050 1.097608e-04
2.010267 7.787444e-05
2.010484 5.550402e-05
2.010701 4.883259e-05
2.010918 5.063828e-05
2.011136 6.408134e-05
2.011353 8.809380e-05
2.011570 1.073342e-04
2.011787 1.040766e-04
2.012004 8.489395e-05
2.012222 7.898561e-05
2.012439 8.820608e-05
2.012656 1.185510e-04
2.012873 3.142955e-04
2.013090 2.245275e-04
2.013308 8.349970e-05
2.013525 6.079322e-05
2.013742 4.812626e-05
2.013959 4.720757e-05
2.014176 4.732430e-05
2.014394 4.748767e-05
2.014611 4.563248e-05
2.014828 4.648479e-05
2.015045 4.781411e-05
2.015262 4.703681e-05
2.015480 4.720854e-05
2.015697 5.050050e-05
2.015914 5.479481e-05
2.016131 6.185002e-05
2.016348 6.725662e-05
