# wavelength[micron] photons/cm^2/s/Angstrom/arcsec^2
0.900000 7.335684e-06
0.900109 1.030527e-05
0.900218 4.331382e-05
0.900327 4.474393e-05
0.900437 4.380465e-05
0.900546 4.277520e-05
0.900655 1.237421e-05
0.900764 1.183199e-05
0.900873 1.209822e-05
0.900982 1.207637e-05
0.901091 1.208311e-05
0.901200 1.222085e-05
0.901310 1.200965e-05
0.901419 1.206058e-05
0.901528 1.205779e-05
0.901637 1.223791e-05
0.901746 1.158957e-05
0.901855 1.146488e-05
0.901964 1.144670e-05
0.902073 1.148929e-05
0.902183 1.248009e-05
0.902292 1.236201e-05
0.902401 1.200361e-05
0.902510 1.199121e-05
0.902619 1.171911e-05
0.902728 1.159357e-05
0.902837 1.180606e-05
0.902947 1.181651e-05
0.903056 1.222325e-05
0.903165 1.242330e-05
0.903274 1.225192e-05
0.903383 1.227171e-05
0.903492 1.233204e-05
0.903601 1.244531e-05
0.903710 1.255776e-05
0.903820 1.330934e-05
0.903929 1.956176e-05
0.904038 1.954394e-05
0.904147 1.945827e-05
0.904256 1.697284e-05
0.904365 1.219898e-05
0.904474 1.226147e-05
0.904583 1.231491e-05
0.904693 1.236351e-05
0.904802 1.251785e-05
0.904911 1.252022e-05
0.905020 2.248876e-05
0.905129 2.668072e-05
0.905238 2.669567e-05
0.905347 2.623237e-05
0.905456 1.393735e-05
0.905566 1.221262e-05
0.905675 1.224008e-05
0.905784 1.251434e-05
0.905893 1.254706e-05
0.906002 1.254402e-05
0.906111 1.233047e-05
0.906220 1.227938e-05
0.906330 1.213032e-05
0.906439 1.201879e-05
0.906548 1.215884e-05
0.906657 1.218656e-05
0.906766 1.233726e-05
0.906875 1.243398e-05
0.906984 1.160703e-05
0.907093 1.149187e-05
0.907203 1.141214e-05
0.907312 1.086489e-05
0.907421 1.172035e-05
0.907530 1.149457e-05
0.907639 1.167117e-05
0.907748 1.217581e-05
0.907857 1.224019e-05
0.907966 1.237790e-05
0.908076 1.194031e-05
0.908185 1.155669e-05
0.908294 1.143139e-05
0.908403 1.160952e-05
0.908512 1.201228e-05
0.908621 1.240828e-05
0.908730 1.208130e-05
0.908840 1.170792e-05
0.908949 1.169998e-05
0.909058 1.164603e-05
0.909167 1.211443e-05
0.909276 1.279920e-05
0.909385 1.448869e-05
0.909494 1.441931e-05
0.909603 1.431841e-05
0.909713 1.340389e-05
0.909822 1.218152e-05
0.909931 1.222727e-05
0.910040 1.192250e-05
0.910149 1.157932e-05
0.910258 1.185988e-05
0.910367 1.576578e-05
0.910476 1.696964e-05
0.910586 1.701584e-05
0.910695 1.579142e-05
0.910804 1.179930e-05
0.910913 1.140154e-05
0.911022 1.172335e-05
0.911131 1.185584e-05
0.911240 1.223367e-05
0.911350 1.242883e-05
0.911459 1.242472e-05
0.911568 1.242720e-05
0.911677 1.236275e-05
0.911786 1.227751e-05
0.911895 1.197550e-05
0.912004 1.137411e-05
0.912113 1.140712e-05
0.912223 1.151712e-05
0.912332 1.190165e-05
0.912441 1.239516e-05
0.912550 1.231550e-05
0.912659 1.231087e-05
0.912768 1.228923e-05
0.912877 1.218842e-05
0.912986 1.200615e-05
0.913096 1.157384e-05
0.913205 1.126791e-05
0.913314 1.136852e-05
0.913423 1.156662e-05
0.913532 1.190229e-05
0.913641 1.183975e-05
0.913750 1.115738e-05
0.913860 1.104920e-05
0.913969 1.127597e-05
0.914078 1.156998e-05
0.914187 1.226463e-05
0.914296 1.231767e-05
0.914405 1.226299e-05
0.914514 1.217038e-05
0.914623 1.219707e-05
0.914733 1.218258e-05
0.914842 1.222901e-05
0.914951 1.231600e-05
0.915060 1.223072e-05
0.915169 1.217252e-05
0.915278 1.257388e-05
0.915387 1.211072e-05
0.915496 1.216803e-05
0.915606 1.158745e-05
0.915715 1.068645e-05
0.915824 1.113258e-05
0.915933 1.116535e-05
0.916042 1.194537e-05
0.916151 1.272434e-05
0.916260 1.339910e-05
0.916369 1.335921e-05
0.916479 1.337735e-05
0.916588 1.287904e-05
0.916697 1.226270e-05
0.916806 1.225868e-05
0.916915 1.218917e-05
0.917024 1.210547e-05
0.917133 1.208472e-05
0.917243 1.210904e-05
0.917352 1.202072e-05
0.917461 1.171635e-05
0.917570 1.129401e-05
0.917679 1.118928e-05
0.917788 1.114164e-05
0.917897 1.157357e-05
0.918006 1.191077e-05
0.918116 1.200251e-05
0.918225 1.213392e-05
0.918334 1.217446e-05
0.918443 1.213951e-05
0.918552 1.178060e-05
0.918661 1.183234e-05
0.918770 1.182106e-05
0.918879 1.189163e-05
0.918989 1.228520e-05
0.919098 1.228220e-05
0.919207 1.229021e-05
0.919316 1.217937e-05
0.919425 1.214804e-05
0.919534 1.217452e-05
0.919643 1.178050e-05
0.919753 1.181897e-05
0.919862 1.182575e-05
0.919971 1.184446e-05
0.920080 1.227913e-05
0.920189 1.230584e-05
0.920298 1.230706e-05
0.920407 1.233315e-05
0.920516 1.232246e-05
0.920626 1.225645e-05
0.920735 1.220709e-05
0.920844 1.214181e-05
0.920953 1.209039e-05
0.921062 1.215688e-05
0.921171 1.219797e-05
0.921280 1.225681e-05
0.921389 1.222185e-05
0.921499 1.216216e-05
