# wavelength[Angstrom] f_lambda[erg/cm^2/s/Angstrom]
# AB magnitudes will be: J ~ 0.90, H ~  1.37, K_s ~ 1.84
900.41 1.241713e-17
901.31 1.680479e-17
902.22 1.785211e-17
903.12 1.828850e-17
904.03 1.870901e-17
904.93 1.922474e-17
905.84 1.974840e-17
906.75 2.024826e-17
907.66 2.076399e-17
908.57 2.128765e-17
909.48 2.181925e-17
910.39 2.237465e-17
911.30 2.296972e-17
912.22 2.377901e-17
913.13 2.601648e-17
914.05 4.726446e-17
914.96 3.646591e-16
915.88 2.358859e-15
916.80 6.866319e-15
917.72 1.155230e-14
918.64 1.540836e-14
919.56 1.944690e-14
920.48 2.228737e-14
921.40 2.630211e-14
922.33 2.909498e-14
923.25 3.137211e-14
924.18 4.612192e-14
925.10 4.680427e-14
926.03 3.627549e-14
926.96 5.066826e-14
927.89 7.524863e-14
928.82 7.798596e-14
929.75 5.659516e-14
930.68 4.006014e-14
931.61 6.042741e-14
932.55 9.417980e-14
933.48 1.154437e-13
934.42 1.218704e-13
935.36 1.134601e-13
936.29 8.711830e-14
937.23 5.365948e-14
938.17 5.338178e-14
939.11 9.235492e-14
940.05 1.289319e-13
941.00 1.494817e-13
941.94 1.620178e-13
942.88 1.689207e-13
943.83 1.711422e-13
944.78 1.622559e-13
945.72 1.559084e-13
946.67 1.592408e-13
947.62 1.441657e-13
948.57 1.006859e-13
949.52 6.302192e-14
950.47 8.814976e-14
951.43 1.481328e-13
952.38 1.875662e-13
953.33 2.086714e-13
954.29 2.317601e-13
955.25 2.554835e-13
956.20 2.764300e-13
957.16 2.922986e-13
958.12 2.972972e-13
959.08 2.992014e-13
960.04 2.980906e-13
961.01 3.042793e-13
961.97 3.118962e-13
962.93 3.096746e-13
963.90 2.940441e-13
964.87 2.933300e-13
965.83 3.203066e-13
966.80 3.391108e-13
967.77 3.378413e-13
968.74 3.216554e-13
969.71 2.856338e-13
970.68 2.197793e-13
971.66 1.298047e-13
972.63 9.084741e-14
973.61 1.572573e-13
974.58 2.573878e-13
975.56 3.317319e-13
976.54 3.775920e-13
977.52 4.004427e-13
978.50 4.150418e-13
979.48 4.294821e-13
980.46 4.382892e-13
981.44 4.433671e-13
982.43 4.527295e-13
983.41 4.615366e-13
984.40 4.574901e-13
985.38 4.600291e-13
986.37 4.741521e-13
987.36 4.597117e-13
988.35 4.260704e-13
989.34 3.966342e-13
990.33 3.922704e-13
991.33 4.382892e-13
992.32 4.748662e-13
993.31 4.862121e-13
994.31 4.631235e-13
995.31 4.678047e-13
996.31 4.947018e-13
997.30 5.061272e-13
998.30 5.165211e-13
999.30 5.279464e-13
1000.31 5.438150e-13
1001.31 5.615084e-13
1002.31 5.748380e-13
1003.32 5.860253e-13
1004.32 5.905478e-13
1005.33 5.906272e-13
1006.34 5.900718e-13
1007.35 5.946737e-13
1008.36 6.029253e-13
1009.37 6.087173e-13
1010.38 6.216502e-13
1011.39 6.333929e-13
1012.41 6.383915e-13
1013.42 6.492615e-13
1014.44 6.570370e-13
1015.45 6.676689e-13
1016.47 6.870286e-13
1017.49 6.931380e-13
1018.51 6.855211e-13
1019.53 6.735403e-13
1020.55 6.536253e-13
1021.58 6.246652e-13
1022.60 5.561131e-13
1023.63 4.251976e-13
1024.65 2.505643e-13
1025.68 1.529728e-13
1026.71 2.532620e-13
1027.74 4.370990e-13
1028.77 5.935629e-13
1029.80 7.021830e-13
1030.83 7.620868e-13
1031.87 8.061220e-13
1032.90 8.465868e-13
1033.94 8.703896e-13
1034.97 8.688028e-13
1036.01 8.219905e-13
1037.05 8.196103e-13
1038.09 9.013333e-13
1039.13 9.544929e-13
1040.17 9.759154e-13
1041.21 9.925774e-13
1042.26 9.965445e-13
1043.30 9.949577e-13
1044.35 1.010826e-12
1045.39 1.033042e-12
1046.44 1.052878e-12
1047.49 1.057638e-12
1048.54 1.064779e-12
1049.59 1.098897e-12
1050.64 1.123493e-12
1051.70 1.131427e-12
1052.75 1.143329e-12
1053.81 1.163164e-12
1054.86 1.179033e-12
1055.92 1.203629e-12
1056.98 1.232192e-12
1058.04 1.249648e-12
1059.10 1.246474e-12
1060.16 1.252028e-12
1061.23 1.280591e-12
1062.29 1.275831e-12
1063.35 1.267103e-12
1064.42 1.304394e-12
1065.49 1.313915e-12
1066.56 1.299634e-12
1067.62 1.298047e-12
1068.69 1.325023e-12
1069.77 1.386117e-12
1070.84 1.426582e-12
1071.91 1.444037e-12
1072.99 1.451178e-12
1074.06 1.475775e-12
1075.14 1.505131e-12
1076.22 1.535282e-12
1077.30 1.576540e-12
1078.38 1.608277e-12
1079.46 1.637634e-12
1080.54 1.663023e-12
1081.62 1.670958e-12
1082.71 1.670164e-12
1083.79 1.637634e-12
1084.88 1.624939e-12
1085.97 1.694760e-12
1087.05 1.785211e-12
1088.14 1.820915e-12
1089.24 1.839958e-12
1090.33 1.845512e-12
1091.42 1.862174e-12
1092.51 1.909779e-12
1093.61 1.950244e-12
1094.71 1.947864e-12
1095.80 1.862174e-12
1096.90 1.774897e-12
1098.00 1.830436e-12
1099.10 1.924061e-12
1100.20 2.050216e-12
1101.31 2.243019e-12
1102.41 2.434234e-12
1103.52 2.611962e-12
1104.62 2.750812e-12
1105.73 2.945995e-12
1106.84 3.321286e-12
1107.95 4.339253e-12
1109.06 7.534385e-12
1110.17 1.483709e-11
1111.28 2.324742e-11
1112.40 3.292723e-11
1113.51 3.753704e-11
1114.63 4.613779e-11
1115.75 8.172300e-11
1116.87 8.243708e-11
1117.99 7.973943e-11
1119.11 1.135394e-10
1120.23 1.105244e-10
1121.35 7.185277e-11
1122.48 6.974225e-11
1123.60 1.282178e-10
1124.73 1.580507e-10
1125.85 1.615418e-10
1126.98 1.340892e-10
1128.11 8.227840e-11
1129.24 5.953084e-11
1130.38 9.679811e-11
1131.51 1.457526e-10
1132.64 1.510685e-10
1133.78 1.325817e-10
1134.92 1.456732e-10
1136.05 1.804253e-10
1137.19 1.768549e-10
1138.33 1.256789e-10
1139.47 6.969465e-11
1140.62 7.343168e-11
1141.76 1.040183e-10
1142.90 1.068746e-10
1144.05 1.108418e-10
1145.20 1.445624e-10
1146.34 1.542422e-10
1147.49 1.466253e-10
1148.64 1.588441e-10
1149.80 1.692380e-10
1150.95 1.687620e-10
1152.10 1.579713e-10
1153.26 1.500371e-10
1154.41 1.576540e-10
1155.57 1.483709e-10
1156.73 1.108418e-10
1157.89 7.712905e-11
1159.05 8.886384e-11
1160.21 1.240127e-10
1161.37 1.359934e-10
1162.54 1.302014e-10
1163.70 1.120319e-10
1164.87 1.006859e-10
1166.04 9.330704e-11
1167.21 7.846201e-11
1168.38 6.736196e-11
1169.55 5.941183e-11
1170.72 5.176319e-11
1171.89 5.169178e-11
1173.07 5.189807e-11
1174.25 4.726446e-11
1175.42 4.178187e-11
1176.60 3.789408e-11
1177.78 3.534718e-11
1178.96 3.088018e-11
1180.14 2.471526e-11
1181.33 2.111310e-11
1182.51 1.924854e-11
1183.70 1.682066e-11
1184.88 1.501958e-11
1186.07 1.385324e-11
1187.26 1.240127e-11
1188.45 9.989248e-12
1189.64 7.872384e-12
1190.83 7.692277e-12
1192.03 7.439966e-12
1193.22 5.634126e-12
1194.42 5.402445e-12
1195.62 6.966290e-12
1196.82 7.317779e-12
1198.02 7.105934e-12
1199.22 6.856004e-12
1200.42 6.588619e-12
1201.62 6.766347e-12
1202.83 6.733816e-12
1204.03 6.299018e-12
1205.24 5.733305e-12
1206.45 5.137441e-12
1207.66 4.536023e-12
1208.87 3.863197e-12
1210.08 3.111821e-12
1211.29 2.303319e-12
1212.51 1.481329e-12
1213.72 7.579610e-13
1214.94 3.012643e-13
1216.16 2.844436e-13
1217.38 7.355070e-13
1218.60 1.507512e-12
1219.82 2.429474e-12
1221.04 3.395868e-12
1222.27 4.340840e-12
1223.49 5.212816e-12
1224.72 6.040361e-12
1225.95 6.860765e-12
1227.17 7.620075e-12
1228.40 8.370657e-12
1229.64 9.172018e-12
1230.87 9.989248e-12
1232.10 1.083028e-11
1233.34 1.156817e-11
1234.57 1.244887e-11
1235.81 1.337718e-11
1237.05 1.432929e-11
1238.29 1.525760e-11
1239.53 1.631286e-11
1240.77 1.790765e-11
1242.02 1.935962e-11
1243.26 2.139080e-11
1244.51 2.541347e-11
1245.76 3.014230e-11
1247.01 3.670394e-11
1248.26 4.813723e-11
1249.51 6.402957e-11
1250.76 8.854647e-11
1252.01 1.302014e-10
1253.27 1.770929e-10
1254.53 2.323155e-10
1255.78 2.900770e-10
1257.04 3.317319e-10
1258.30 3.277648e-10
1259.56 2.246986e-10
1260.83 1.657469e-10
1262.09 2.999948e-10
1263.36 3.527577e-10
1264.62 2.706380e-10
1265.89 4.305929e-10
1267.16 7.614521e-10
1268.43 1.055258e-09
1269.70 1.209183e-09
1270.97 1.229019e-09
1272.25 1.307568e-09
1273.52 1.396432e-09
1274.80 1.270277e-09
1276.08 1.118732e-09
1277.36 1.158404e-09
1278.64 1.387704e-09
1279.92 1.364695e-09
1281.20 1.853446e-09
1282.49 2.496122e-09
1283.77 2.761126e-09
1285.06 2.870620e-09
1286.35 2.639732e-09
1287.64 2.210488e-09
1288.93 2.119244e-09
1290.22 2.437408e-09
1291.52 2.746845e-09
1292.81 2.875380e-09
1294.11 2.831742e-09
1295.40 2.707174e-09
1296.70 2.873793e-09
1298.00 3.003915e-09
1299.30 2.929333e-09
1300.61 2.749225e-09
1301.91 2.025620e-09
1303.21 1.569399e-09
1304.52 1.108418e-09
1305.83 1.368662e-09
1307.14 2.352512e-09
